GenreID,GenreName
1094,Spiritualism
1095,Spirituality
1096,Sports
1097,Sports & Recreation
1098,Sports Psychology
1099,Squirrels
1100,State
1101,State & Local
1102,Stepparenting
1103,Stories in Verse
1104,Strategic Planning
1105,Strategy
1106,Stress Management
1107,Structural Adjustment
1108,Student Life & Student Affairs
1109,Students & Student Life
1110,Study & Teaching
1111,Study Aids
1112,Study Guides
1113,Stuffed Animals
1114,Subjects & Themes
1115,Substance Abuse & Addictions
1116,Success
1117,Suicide
1118,Survival
1119,Suspense
1120,System Theory
1121,Systems Architecture
1122,TN)
1123,TX)
1124,Table
1125,Taoist
1126,Taxation
1127,Teaching Methods & Materials
1128,Techniques
1129,Technological
1130,Technology
1131,Technology & Engineering
1132,Teddy Bears
1133,Teenagers
1134,Telecommunications
1135,Telepathy)
1136,Television
1137,Television & Video
1138,Tennis
1139,Terrorism
1140,Testing & Measurement
1141,Tests (Other)
1142,Thanksgiving
1143,The Message
1144,Theater
1145,Theory & Social Aspects
1146,Thesauri
1147,Thrillers
1148,Tigers
1149,Time
1150,Time Management
1151,Time Travel
1152,Toilet Training
1153,Topiary
1154,Topic
1155,Total Quality Management
1156,Tours
1157,Toys
1158,Track & Field
1159,Traditional
1160,Traditional British
1161,Training
1162,Transportation
1163,Travel
1164,Travel & Tourism
1165,Trees
1166,Trees & Forests
1167,Trial Practice
1168,Trivia
1169,True Crime
1170,UNIX
1171,UT
1172,Unexplained Phenomena
1173,United States
1174,Urban
1175,User Interfaces
1176,VA
1177,Valentine's Day
1178,Values & Virtues
1179,Vegan
1180,Vegetables
1181,Vegetarian
1182,Vegetarian & Vegan
1183,Video & Electronic
1184,Vietnam War
1185,Vietnamese
1186,Violence in Society
1187,Viruses & Malware
1188,Visionary & Metaphysical
1189,Vitamins
1190,Vocabulary
1191,Vocabulary & Spelling
1192,Voice
1193,Volunteer Work
1194,WA)
1195,WI)
1196,WV)
1197,WY)
1198,War & Military
1199,Wars & Conflicts (Other)
1200,Water Sports
1201,Watercolor Painting
1202,Waves & Wave Mechanics
1203,Weapons
1204,Weather
1205,Web
1206,Weddings
1207,Weight Control
1208,Weight Loss
1209,Welsh
1210,West
1211,West Indies)
1212,West South Central (AR
1213,Western
1214,Western States
1215,Westerns
1216,White Collar Crime
1217,Wildlife
1218,Wills
1219,Windows Desktop
1220,Windows Workstation
1221,Wine
1222,Wine & Spirits
1223,Winter Sports
1224,Wizards & Witches
1225,Wok
1226,Women
1227,Women & Relationships
1228,Women Authors
1229,Women Sleuths
1230,Women's Health
1231,Women's Issues
1232,Women's Studies
1233,Wood Toys
1234,Woodwork
1235,Word Games
1236,Word Lists
1237,Word Processing
1238,Words
1239,World
1240,World War I
1241,World War II
1242,Writing
1243,Writing Skills
1244,XML
1245,Yearbooks & Annuals
1246,Yoga
1247,Young Adult Fiction
1248,Young Adult Nonfiction
1249,Zen
1250,Zoology
1251,Zoos
1252,etc.
